# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.hits,1778169989702000000,1778170017939000000,3
DirectByteBufferAllocator.disposed,1778169989702000000,1778170017939000000,359
DirectByteBufferAllocator.misses,1778169989702000000,1778170017939000000,399
StorageLockContext.competingThreads.avg,1778169989702000000,1778170017939000000,0.0
workspaceModel.mutableEntityStorage.resolve.ms,1778169989702000000,1778170017939000000,0
jps.global.handle.before.change.events.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1778169989702000000,1778170017939000000,0
jps.global.initialize.library.bridges.after.loading.ms,1778169989702000000,1778170017939000000,0
workspaceModel.do.save.caches.ms,1778169989702000000,1778170017939000000,0
jps.library.entities.serializer.load.entities.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1778169989702000000,1778170017939000000,5
jps.load.initial.state.ms,1778169989702000000,1778170017939000000,9
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1778169989702000000,1778170017939000000,0
workspaceModel.sync.entities.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1778169989702000000,1778170017939000000,0
jps.app.storage.content.writer.save.component.ms,1778169989702000000,1778170017939000000,63
jps.library.entities.serializer.save.entities.ms,1778169989702000000,1778170017939000000,0
jps.global.handle.changed.events.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1778169989702000000,1778170017939000000,0
workspaceModel.global.apply.state.to.project.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1778169989702000000,1778170017939000000,0
workspaceModel.load.cache.metadata.from.file.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1778169989702000000,1778170017939000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1778169989702000000,1778170017939000000,0
jps.global.get.library.by.name.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1778169989702000000,1778170017939000000,0
jps.global.get.libraries.ms,1778169989702000000,1778170017939000000,13
workspaceModel.load.cache.from.file.ms,1778169989702000000,1778170017939000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1778169989702000000,1778170017939000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1778169989702000000,1778170017939000000,0
workspaceModel.global.updates.ms,1778169989702000000,1778170017939000000,8
jps.app.storage.content.reader.load.component.ms,1778169989702000000,1778170017939000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1778169989702000000,1778170017939000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1778169989702000000,1778170017939000000,0
